row_id,subject,upperbody_label,split_group
0,1,TLB,global_train
1,1,TLB,global_train
2,1,TLB,global_train
3,1,TLB,global_train
4,1,TLB,global_train
5,1,TLB,global_train
6,1,TLB,global_train
7,1,TLB,global_train
8,1,TLB,global_train
9,1,TLB,global_train
10,1,TLB,global_train
11,1,TLB,global_train
12,1,TLB,global_train
13,1,TLB,global_train
14,1,TLB,global_train
15,1,TLB,global_train
16,1,TLB,global_train
17,1,TLB,global_train
18,1,TLB,global_train
19,1,TLB,global_train
20,1,TLB,global_train
21,1,TLB,global_train
22,1,TLB,global_train
23,1,TLB,global_train
24,1,TLB,global_train
25,1,TLB,global_train
26,1,TLB,global_train
27,1,TLB,global_train
28,1,TLB,global_train
29,1,TLB,global_train
30,1,TLB,global_train
31,1,TLB,global_train
32,1,TLB,global_train
33,1,TLB,global_train
34,1,TLB,global_train
35,1,TLB,global_train
36,1,TLB,global_train
37,1,TLB,global_train
38,1,TLB,global_train
39,1,TLB,global_train
40,1,TLB,global_train
41,1,TLB,global_train
42,1,TLB,global_train
43,1,TLB,global_train
44,1,TLB,global_train
45,1,TLB,global_train
46,1,TLB,global_train
47,1,TLB,global_train
48,1,TLB,global_train
49,1,TLB,global_train
50,1,TLB,global_train
51,1,TLB,global_train
52,1,TLB,global_train
53,1,TLB,global_train
54,1,TLF,global_train
55,1,TLF,global_train
56,1,TLF,global_train
57,1,TLF,global_train
58,1,TLF,global_train
59,1,TLF,global_train
60,1,TLF,global_train
61,1,TLF,global_train
62,1,TLF,global_train
63,1,TLF,global_train
64,1,TLF,global_train
65,1,TLF,global_train
66,1,TLF,global_train
67,1,TLF,global_train
68,1,TLF,global_train
69,1,TLF,global_train
70,1,TLF,global_train
71,1,TLF,global_train
72,1,TLF,global_train
73,1,TLF,global_train
74,1,TLF,global_train
75,1,TLF,global_train
76,1,TLF,global_train
77,1,TLF,global_train
78,1,TLF,global_train
79,1,TLF,global_train
80,1,TLF,global_train
81,1,TLF,global_train
82,1,TLF,global_train
83,1,TLF,global_train
84,1,TLF,global_train
85,1,TLF,global_train
86,1,TLF,global_train
87,1,TLF,global_train
88,1,TLF,global_train
89,1,TLF,global_train
90,1,TLF,global_train
91,1,TLF,global_train
92,1,TLF,global_train
93,1,TLF,global_train
94,1,TLF,global_train
95,1,TLF,global_train
96,1,TLF,global_train
97,1,TLF,global_train
98,1,TLF,global_train
99,1,TLF,global_train
100,1,TLF,global_train
101,1,TLF,global_train
102,1,TLF,global_train
103,1,TLF,global_train
104,1,TLF,global_train
105,1,TLF,global_train
106,1,TLF,global_train
107,1,TLF,global_train
108,1,TLF,global_train
109,1,TLF,global_train
110,1,TLF,global_train
111,1,TLF,global_train
112,1,TLF,global_train
113,1,TLF,global_train
114,1,TLF,global_train
115,1,TLF,global_train
116,1,TLF,global_train
117,1,TLF,global_train
118,1,TLF,global_train
119,1,TLF,global_train
120,1,TLF,global_train
121,1,TLF,global_train
122,1,TLF,global_train
123,1,TLF,global_train
124,1,TLF,global_train
